Comment,Designator,Footprint,LCSC Part #
470R,R1,R_0805_HandSoldering,C17710
4K7,R2,R_0805_HandSoldering,C17673
"PCF8574T/3,518",U3,SO-16-W,C7605
4K7,R5,R_0805_HandSoldering,C17673
4K7,R4,R_0805_HandSoldering,C17673
220R,R3,R_0805_HandSoldering,C17557
EL3H7(B)(TA)-G,U2,SOP-4_4.4x2.6mm_P1.27mm,C32565
