Ref,Val,Package,PosX,PosY,Rot,Side
"R1","470R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.500000,20.750000,180.000000,top
"R2","4K7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,19.062500,180.000000,top
"R3","220R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,15.625000,180.000000,top
"R4","4K7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,12.187500,180.000000,top
"R5","4K7","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.500000,8.750000,180.000000,top
"U2","EL3H7(B)(TA)-G","SOP-4_4.4x2.6mm_P1.27mm",57.250000,4.500000,270.000000,top
"U3","PCF8574T/3,518","SOIC-16W_7.5x10.3mm_P1.27mm",59.750000,19.040010,0.000000,top
