Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,LCSCStockCode,PartNumber
1,"Generic connector, single row, 01x02, script generated",Conn_01x02_Socket,J1,Conn_01x02_Socket,PinSocket_1x02_P2.54mm_Vertical,1, ,~,,
2,"Temperature dependent resistor, negative temperature coefficient",Thermistor_NTC,TH1,10K NTC,R_0805_2012Metric,1, ,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-CMFB103F3950FANT_C51597.pdf,C51597,CMFB103F3950FANT
