Ref,Val,Package,PosX,PosY,Rot,Side
"R1","470R","R_0805_HandSoldering",3.500000,20.750000,180.000000,top
"R2","4K7","R_0805_HandSoldering",19.500000,19.062500,180.000000,top
"R3","220R","R_0805_HandSoldering",19.500000,15.625000,180.000000,top
"R4","4K7","R_0805_HandSoldering",19.500000,12.187500,180.000000,top
"R5","4K7","R_0805_HandSoldering",19.500000,8.750000,180.000000,top
"U2","HMHA2801","SOP-4_4.4x2.8mm_Pitch1.27mm",57.250000,4.500000,270.000000,top
"U3","PCF8574T/3,518","SO-16-W",59.750000,19.000000,270.000000,top
