Designator,Mid X,Mid Y,Layer,Rotation
"C1",17.3400,47.8600,top,0.0000
"C2",13.4200,47.8700,top,0.0000
"D1",8.1400,47.4900,top,270.0000
"D2",18.4000,13.7500,top,0.0000
"D3",11.6000,13.0350,top,0.0000
"D4",2.7750,48.9500,top,0.0000
"F1",26.4000,13.6500,top,0.0000
"Q1",3.1750,14.5500,top,270.0000
"R1",21.5200,42.4100,top,0.0000
"R2",8.1000,44.5400,top,0.0000
"R5",14.0000,51.0500,top,180.0000
"R6",17.9000,32.3000,top,180.0000
"R8",10.7917,32.3000,top,180.0000
"R10",4.1500,32.3000,top,180.0000
"R14",21.4000,38.5500,top,180.0000
"R15",3.2000,11.4500,top,0.0000
"R16",3.0500,53.6500,top,0.0000
"R17",8.1000,13.0800,top,0.0000
"R18",3.0500,51.6250,top,0.0000
"R19",10.3000,29.4500,top,0.0000
"R20",8.1000,40.5500,top,180.0000
"R21",21.6000,45.7500,top,0.0000
"R22",17.9500,22.7500,top,180.0000
"R23",3.8700,4.2800,top,90.0000
"R24",17.9250,26.8500,top,180.0000
"R25",10.8417,22.7500,top,180.0000
"R26",10.8167,26.8500,top,180.0000
"R27",4.2000,22.7500,top,180.0000
"R28",4.1750,26.8500,top,180.0000
"U1",24.5000,50.8500,top,0.0000
"U2",15.3800,41.8400,top,270.0000
